City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,bayanhongor,46.7167,100.1167,21.76,38,100,3.88,MN,1691132120
119,rabaul,-4.1967,152.1721,26.72,80,100,6.36,PG,1691132627
120,jamaame,0.0697,42.745,28.85,55,38,7.32,SO,1691132628
121,nokha,27.6,73.4167,34.05,46,50,4.93,IN,1691132628
122,stanley,54.868,-1.6985,12.77,92,75,1.54,GB,1691132055
123,pulawy,51.4166,21.9694,21.51,57,94,4.13,PL,1691132629
124,badger,64.8,-147.5333,23.95,59,75,0.0,US,1691132065
125,loyew,51.9458,30.7953,23.48,63,3,2.25,BY,1691132630
126,invercargill,-46.4,168.35,6.68,96,77,0.89,NZ,1691132057
127,port lincoln,-34.7333,135.8667,12.93,61,48,7.25,AU,1691131830
128,praia da vitoria,38.7333,-27.0667,22.14,78,20,4.83,PT,1691132047
129,kugesi,56.029,47.2925,25.81,57,0,2.0,RU,1691132632
130,el calafate,-50.3408,-72.2768,0.11,69,2,7.62,AR,1691132632
131,point pedro,9.8167,80.2333,30.38,68,55,6.66,LK,1691132633
132,turpan,42.9333,89.1667,42.95,10,1,0.31,CN,1691132633
133,puerto leguizamo,-0.1934,-74.7819,22.07,95,98,0.57,CO,1691132634
134,belyy yar,53.6039,91.3903,20.94,88,20,2.0,RU,1691132635
135,bubaque,11.2833,-15.8333,26.55,76,100,1.18,GW,1691132220
136,fort st. john,56.2499,-120.8529,12.94,88,40,3.6,CA,1691132120
137,ribeira grande,38.5167,-28.7,22.1,83,20,2.57,PT,1691132636
138,virac,13.6333,124.2167,27.52,67,97,6.0,PH,1691132280
139,uliastay,47.7417,96.8444,22.47,43,90,3.59,MN,1691132637
140,talnakh,69.4865,88.3972,22.34,33,28,3.29,RU,1691132136
141,olonkinbyen,70.9221,-8.7187,4.19,94,100,9.65,SJ,1691132061
142,chibougamau,49.9168,-74.3659,13.79,100,100,4.12,CA,1691132147
143,archangelos,36.2149,28.1149,27.99,46,0,3.8,GR,1691132638
144,ilulissat,69.2167,-51.1,5.01,81,100,0.0,GL,1691132067
145,yuzhno-kurilsk,44.0306,145.8556,20.72,93,89,2.3,RU,1691132639
146,thomaston,32.8882,-84.3266,23.38,92,100,0.0,US,1691132592
147,holualoa,19.6228,-155.9522,22.5,85,51,1.79,US,1691132640
148,clinton,42.587,-82.9199,23.18,88,0,3.09,US,1691132640
149,garissa,-0.4536,39.6401,27.4,51,35,10.77,KE,1691132641
150,al ain city,24.1917,55.7606,40.79,22,12,5.66,AE,1691132500
151,vadso,70.0744,29.7487,20.49,77,0,4.63,NO,1691132085
152,kailua-kona,19.6406,-155.9956,26.98,85,20,2.06,US,1691132058
153,yurimaguas,-5.9,-76.0833,22.21,80,1,0.73,PE,1691132643
154,visby,57.6409,18.296,17.24,88,100,8.23,SE,1691132229
155,hawaiian paradise park,19.5933,-154.9731,24.73,85,20,3.09,US,1691132111
156,sint michiel liber,12.15,-68.9833,27.9,83,20,4.12,CW,1691132644
157,kapa'a,22.0752,-159.319,25.99,87,15,0.89,US,1691132644
